CTUID,CTNAME,PRUID,PRNAME,CMAUID,CMAPUID,CMANAME,CMATYPE,LANDMIX,VC_EMPDEN,VC_POPDEN,AVGDA,SMLDA,POPDEN,EMPDEN,INTERDEN,PERC4INTER,SPRAWL
4620233,233,24,Quebec / Québec,462,24462,Montréal,B,0.292821544,0.274852988,0.1954556,0.010328062,100,48823.2927,30862.51769,145.2353774,83.33333333,1.723
4620234,234,24,Quebec / Québec,462,24462,Montréal,B,0.120862673,0.421995998,0.284542782,0.011874804,100,36851.13543,18021.35051,303.1629058,33.33333333,1.351
4620235,235,24,Quebec / Québec,462,24462,Montréal,B,0.01757547,0.313927272,0.21834816,0.011601995,100,42492.6919,28335.64394,258.5762185,50,1.626
4620236,236,24,Quebec / Québec,462,24462,Montréal,B,0,0.077647019,0.165663805,0.014270842,100,41132.82299,24291.95679,210.2188569,55.55555556,1.531
4620237,237,24,Quebec / Québec,462,24462,Montréal,B,0.264788327,0.208305812,0.193760841,0.01445211,100,39613.5935,25832.44525,207.5821494,83.33333333,1.546
4620238,238,24,Quebec / Québec,462,24462,Montréal,B,0.208828492,0.21132916,0.206912761,0.016214297,100,36356.80231,21431.7028,262.1143508,64.70588235,1.422
4620239,239,24,Quebec / Québec,462,24462,Montréal,B,0.704514867,0.536009963,0.502791694,0.026939176,70.72588565,21789.82786,11600.20648,278.4049556,45,0.9483
4620240,240,24,Quebec / Québec,462,24462,Montréal,B,0.651352722,0.437493128,0.397171961,0.024461658,56.72700204,26375.97196,10955.9214,204.4015186,56,0.9767
4620241,241,24,Quebec / Québec,462,24462,Montréal,B,0.275978342,0.278918788,0.181346402,0.016385278,100,35568.51354,17576.75343,219.7094179,72.22222222,1.311
4620242,242,24,Quebec / Québec,462,24462,Montréal,B,0.009643028,0.294729348,0.287162666,0.013390789,100,42505.47137,20536.5039,149.356392,81.81818182,1.45
4620243,243,24,Quebec / Québec,462,24462,Montréal,B,0.254089063,0.387118946,0.399806621,0.012667522,100,38938.16045,19686.17083,157.8840768,68.75,1.395
4620244,244,24,Quebec / Québec,462,24462,Montréal,B,0.302677292,0.104898102,0.252710925,0.017466343,100,30658.9654,16818.05992,128.8191823,88.88888889,1.234
4620245,245,24,Quebec / Québec,462,24462,Montréal,B,0.379641197,0.237654197,0.271630964,0.01746868,100,33041.99255,19463.40517,137.3887424,75,1.327
