GEOUID,PROV,EMP15
10050125,10,345
10050126,10,105
10050127,10,205
10050128,10,235
10050129,10,180
10050130,10,155
10050131,10,400
10050132,10,245
10050133,10,1200
10050134,10,260
10050135,10,105
10050136,10,215
10050137,10,165
10050138,10,145
10050139,10,220
10050140,10,385
10050141,10,220
10050142,10,185
10050143,10,25
10050144,10,165
10050145,10,180
10050146,10,130
10050147,10,220
10050148,10,340
10050149,10,260
10050150,10,0
10050151,10,55
10050152,10,90
10050153,10,115
10050154,10,175
1006,10,15060
10060058,10,320
10060059,10,385
10060060,10,340
10060061,10,410
10060062,10,380
10060063,10,1025
10060064,10,260
10060065,10,250
10060066,10,215
10060067,10,140
10060068,10,320
10060069,10,450
10060070,10,420
10060071,10,210
10060072,10,170
10060073,10,165
10060074,10,55
10060075,10,240
10060076,10,150
10060077,10,115
10060078,10,160
10060079,10,135
10060080,10,100
10060081,10,215
10060082,10,130
10060083,10,220
10060084,10,310
10060085,10,170
10060086,10,210
10060087,10,230
10060088,10,105
10060089,10,150
10060090,10,60
10060091,10,145
10060092,10,115
10060093,10,330
10060094,10,120
10060095,10,130
10060096,10,350
10060097,10,35
10060098,10,305
10060099,10,270
10060100,10,315
10060101,10,350
10060102,10,220
10060103,10,160
10060104,10,205
10060105,10,95
10060106,10,190
10060107,10,135
10060108,10,135
10060109,10,125
10060110,10,90
10060111,10,175
10060112,10,550
10060113,10,230
10060114,10,125
10060115,10,175
10060116,10,180
10060117,10,235
10060118,10,150
10060119,10,175
10060120,10,250
10060121,10,285
10060122,10,95
10060123,10,90
10060124,10,105
10060126,10,25
10060127,10,75
10060128,10,100
1007,10,12300
10070483,10,145
10070484,10,410
10070485,10,150
10070486,10,245
10070487,10,40
10070488,10,65
10070489,10,180
10070490,10,130
10070492,10,150
10070493,10,160
10070494,10,100
10070495,10,150
10070496,10,235
10070497,10,125
10070498,10,135
10070499,10,130
10070501,10,50
10070503,10,35
10070504,10,260
10070505,10,170
10070506,10,170
10070507,10,205
10070508,10,65
10070509,10,55
10070510,10,130
10070511,10,105
10070512,10,30
10070513,10,40
