CTUID,PROV,Employed 
4620169,24,1195
4620170,24,1185
4620171,24,2390
4620172,24,1560
4620173,24,1345
4620174,24,1295
4620175,24,1370
4620176,24,1050
4620177,24,790
4620178,24,1570
4620179,24,2250
4620180,24,1810
4620181,24,2005
4620182,24,1170
4620183,24,1210
4620184,24,1640
4620185,24,2765
4620186,24,2170
4620187.01,24,1305
4620187.03,24,2465
4620187.04,24,2755
4620188.01,24,1235
4620188.02,24,1390
4620190.01,24,1625
4620190.02,24,1030
4620191,24,2815
4620192,24,1095
4620193,24,1065
4620194,24,2925
4620195.01,24,1375
4620195.02,24,2120
4620195.03,24,2315
4620196,24,2000
4620197,24,2170
4620198,24,2060
4620199,24,1185
4620200,24,2140
4620201,24,2875
4620202,24,2190
4620203,24,1595
4620204,24,1525
4620205,24,1170
4620206,24,1355
4620207,24,1835
4620208,24,1535
4620209,24,2940
4620210,24,2245
4620211,24,1340
4620212,24,1470
4620213,24,1570
4620214,24,1595
4620215,24,1230
4620216,24,1430
4620217,24,1510
4620218,24,1840
4620219,24,1400
4620220,24,2240
4620221,24,2200
4620222,24,1430
4620223.01,24,1455
4620223.02,24,1180
4620224,24,1850
4620225,24,640
4620226,24,1795
4620227,24,925
4620228,24,965
4620230,24,1110
4620231,24,980
4620232,24,1990
4620233,24,1235
4620234,24,1125
4620235,24,1110
4620236,24,1110
4620237,24,1830
4620238,24,1310
4620239,24,2235
4620240,24,1320
4620241,24,1410
4620242,24,2760
4620243,24,1830
4620244,24,1125
4620245,24,1630
4620247,24,1340
4620249,24,1915
4620250,24,1785
4620251.01,24,1595
4620251.02,24,1065
4620252,24,1880
4620253,24,1260
4620254,24,1650
4620256,24,1425
4620257,24,1600
4620258,24,1635
4620259,24,2035
4620260,24,1000
4620261,24,1005
4620262,24,1695
4620263,24,1535
4620264.01,24,2360
4620264.02,24,2800
4620265,24,2420
4620266,24,1565
4620267,24,2605
4620268.01,24,2385
4620268.02,24,1115
4620269,24,1825
4620270,24,2250
4620271,24,1785
4620272,24,1750
4620273,24,1830
4620274,24,1230
4620275,24,1935
4620276,24,2415
4620277,24,1770
4620278,24,2090
4620279,24,1955
4620280,24,2195
4620281,24,1635
4620282,24,2520
4620283.01,24,1395
4620283.02,24,1315
4620284,24,1430
4620285,24,2315
4620286,24,2030
4620287.01,24,2640
4620287.02,24,2030
4620288,24,745
4620290.01,24,1080
4620290.02,24,3005
4620290.03,24,1925
4620290.04,24,3160
4620290.05,24,1900
4620290.06,24,2595
4620290.07,24,1935
4620290.08,24,2225
4620290.09,24,2240
4620291.01,24,2010
4620291.03,24,2505
4620291.04,24,2345
4620300,24,1140
4620301,24,2805
4620302,24,1335
4620303,24,1095
4620304,24,1335
4620305,24,1935
4620306,24,1295
4620307,24,1735
4620309,24,775
4620310,24,1815
4620311,24,1855
4620312,24,1655
4620313,24,1760
4620314,24,1190
4620316,24,1130
4620317.02,24,2925
4620317.03,24,2425
4620317.04,24,3775
4620320,24,2235
4620321,24,1520
4620322.02,24,1675
4620322.03,24,1855
4620322.04,24,1330
4620323,24,1290
4620324.01,24,1990
4620324.02,24,1245
4620325.01,24,1570
4620325.02,24,2820
4620325.03,24,1405
4620325.05,24,2295
4620325.06,24,2100
4620326.01,24,1185
4620326.02,24,1610
4620326.03,24,2250
4620327,24,2200
4620328,24,640
4620329,24,1680
4620330,24,2295
4620340,24,2520
4620350,24,1200
4620351,24,2045
4620352,24,1375
4620353,24,1355
4620354,24,1540
4620355,24,640
4620356,24,960
4620360,24,975
4620361,24,675
4620362,24,1255
4620363,24,2235
4620364,24,1240
4620365,24,1435
4620366,24,1225
4620367,24,2285
4620370,24,3470
4620380,24,1720
4620381,24,2410
4620382.01,24,1380
4620382.02,24,2075
4620383.01,24,1355
4620383.02,24,3130
4620385,24,630
4620390,24,425
4620391,24,820
4620392,24,750
4620393,24,2460
4620394,24,1765
4620395.01,24,600
4620395.02,24,2950
4620395.03,24,2400
4620396,24,3040
4620397,24,2020
4620400,24,2385
4620401,24,1560
4620402,24,625
4620403,24,2440
4620404,24,2230
4620410.01,24,2145
4620410.02,24,2105
4620410.03,24,845
4620412,24,3150
4620413.01,24,1915
4620413.02,24,1630
4620415.03,24,1895
4620415.04,24,1865
4620415.05,24,3595
4620415.06,24,3145
4620416.01,24,1890
4620416.02,24,1345
4620417.01,24,1830
4620417.02,24,970
4620418,24,2695
4620419,24,1920
4620420,24,2110
4620421.01,24,2625
4620421.02,24,2800
4620430,24,3150
4620431,24,2755
4620432,24,1590
4620433,24,1905
4620450,24,3395
4620451,24,3325
4620452,24,3245
4620453.01,24,2700
4620453.02,24,2260
4620460,24,2550
4620461,24,1265
4620462.01,24,2520
4620462.02,24,3035
4620470.01,24,3735
4620470.03,24,2950
4620470.04,24,2005
4620470.05,24,2340
4620480,24,1720
4620490,24,1210
