CTUID,PROV,Employed 
4620858.04,24,2710
4620858.05,24,1610
4620859,24,1195
4620860.01,24,3315
4620860.02,24,1855
4620861,24,3125
4620862,24,2855
4620863.01,24,1530
4620863.02,24,2595
4620864,24,2840
4620865,24,840
4620866,24,1495
4620867,24,3125
4620868.01,24,2755
4620868.02,24,2485
4620869,24,1420
4620870.01,24,1685
4620870.02,24,1160
4620871.01,24,1580
4620871.02,24,940
4620872,24,2900
4620873.01,24,1765
4620873.02,24,2010
4620874,24,2100
4620875,24,2260
4620876.01,24,1355
4620876.04,24,3385
4620876.05,24,4030
4620876.06,24,2960
4620876.07,24,940
4620877.01,24,3865
4620877.02,24,2700
4620878,24,2230
4620879.01,24,1605
4620879.02,24,2055
4620880,24,2030
4620881.01,24,1735
4620881.02,24,1785
4620882,24,1235
4620883,24,1325
4620884.01,24,1480
4620884.02,24,3130
4620885,24,1605
4620886.01,24,1925
4620886.02,24,1950
4620886.03,24,1500
4620887.03,24,2085
4620887.04,24,2625
4620887.05,24,2645
4620887.06,24,2595
4620888.01,24,1300
4620888.02,24,2875
4620888.03,24,1935
4620889.01,24,1120
4620889.02,24,1530
4620889.03,24,2320
4620900,24,2140
4620901.01,24,2800
4620901.02,24,2485
4620901.03,24,4035
4620902,24,3035
4620903.01,24,3795
4620903.04,24,2200
4620903.05,24,2145
4620903.07,24,2665
4620903.08,24,1640
4620903.09,24,3030
4620903.1,24,3160
4620903.11,24,2265
4620903.12,24,3480
4620904.02,24,2440
4620904.03,24,3000
4620904.04,24,2105
4620904.05,24,2130
4620904.06,24,2675
4620926.01,24,2840
4620926.02,24,2445
4620929.01,24,1955
4620929.02,24,2740
4620930.02,24,4665
4620930.03,24,1530
4620930.04,24,3400
4621000,24,2405
4621001,24,1685
4621002,24,2925
4621003,24,3680
4621004,24,2535
4621005,24,3660
5050000,35,654515
5050001.01,35,3475
5050001.04,35,1450
5050001.05,35,3195
5050001.06,35,3510
5050001.07,35,2295
5050001.08,35,2335
5050002.01,35,1400
5050002.02,35,1640
5050002.04,35,645
5050002.05,35,2485
5050002.06,35,1495
5050003,35,2130
5050004,35,1930
5050005,35,3245
5050006,35,2065
5050007.01,35,1025
5050007.02,35,1815
5050007.03,35,1700
5050008,35,2275
5050009,35,1700
5050010,35,1645
5050011.01,35,3305
5050011.03,35,2080
5050011.04,35,2090
5050012,35,1590
5050013,35,2500
5050014,35,690
5050015,35,3170
5050016,35,2550
5050017,35,2200
5050018,35,2175
5050019,35,2100
5050020.01,35,2815
5050020.02,35,1455
5050021,35,3155
5050022,35,2270
5050023.01,35,3040
5050023.02,35,2250
5050024,35,1570
5050025,35,2405
5050026,35,2670
5050027,35,2060
5050028,35,3215
5050029,35,1985
5050030,35,2935
5050031,35,2455
5050032.01,35,1620
5050032.02,35,2605
5050033.01,35,2520
5050033.02,35,1595
5050034,35,1820
5050035,35,2435
5050036,35,1845
5050037,35,5115
5050038,35,2950
5050039,35,1700
5050040,35,2455
5050041,35,2110
5050042,35,1905
5050043,35,2565
5050044,35,1400
5050045,35,4490
5050046,35,2370
5050047,35,270
5050048,35,2695
5050049,35,1895
5050050,35,410
5050051,35,2845
5050052,35,2575
5050053,35,1910
5050054,35,1485
5050055,35,1200
5050056,35,1915
5050057,35,885
5050058,35,1785
5050059,35,1875
5050060,35,1850
5050061,35,2435
5050062.01,35,2580
5050062.02,35,660
5050100,35,1525
5050101,35,1515
5050102,35,1525
5050103,35,2140
5050104,35,1645
5050110,35,860
5050120.01,35,545
5050120.02,35,1780
5050120.03,35,2525
5050121.01,35,2160
5050121.02,35,1660
5050122.01,35,1590
5050122.02,35,3485
5050122.03,35,2405
5050123.01,35,2385
5050123.02,35,4660
5050124.01,35,1650
5050124.02,35,2275
5050124.03,35,2475
5050124.04,35,1690
5050125.01,35,2105
5050125.02,35,1880
5050125.04,35,2175
5050125.05,35,2890
5050125.06,35,3995
5050125.07,35,2500
5050125.08,35,2935
5050125.09,35,2055
5050126.03,35,2545
5050126.04,35,1775
5050126.05,35,3280
5050126.06,35,2700
5050127,35,2225
5050130.01,35,1815
5050130.02,35,2395
5050131.01,35,2515
5050131.02,35,2345
5050132,35,2915
5050133,35,2480
5050134,35,1835
5050135.01,35,3430
5050135.02,35,2510
5050135.03,35,925
5050136.01,35,2110
5050136.02,35,2600
5050137.02,35,1695
5050137.03,35,785
5050137.04,35,1140
5050137.05,35,3930
5050138,35,3245
5050139,35,1975
5050140.03,35,1475
5050140.04,35,3320
5050140.05,35,2865
5050140.06,35,1265
5050140.07,35,2625
5050141.04,35,1760
5050141.05,35,3555
5050141.08,35,4520
5050141.09,35,3510
5050141.1,35,2840
5050141.11,35,2830
5050141.12,35,3190
5050141.13,35,1540
5050141.14,35,1095
5050141.15,35,4420
5050151.03,35,2390
5050151.04,35,3085
5050151.05,35,1655
5050151.06,35,2615
5050151.07,35,3585
5050151.08,35,2865
5050151.09,35,2720
5050160.02,35,2515
5050160.03,35,2440
5050160.04,35,3720
5050160.05,35,2040
5050160.06,35,2280
5050160.07,35,3440
5050160.09,35,1795
5050160.1,35,5035
5050160.11,35,2900
5050161.03,35,2730
5050161.04,35,2475
5050161.05,35,3490
5050161.06,35,2630
5050162.01,35,2705
5050162.02,35,2560
5050170.01,35,2460
5050170.03,35,2215
5050170.04,35,2125
5050170.05,35,2285
5050170.08,35,1515
5050170.09,35,2970
5050170.1,35,2440
5050170.11,35,1960
5050170.12,35,2855
5050170.13,35,2955
5050171.03,35,3115
5050171.05,35,2775
5050171.06,35,3275
5050171.07,35,2625
5050171.08,35,6855
5050180.01,35,3605
5050180.02,35,2620
5050181.01,35,3670
5050181.02,35,3225
5050182,35,2515
5050183,35,2690
5050184,35,3600
5050190.01,35,3640
5050190.02,35,3550
5050191.01,35,2420
5050191.02,35,2760
5050200.01,35,1410
5050200.02,35,3600
5050201,35,2280
5050300,35,4875
5050301,35,2775
5050302,35,3975
5050500,35,1290
5050501,35,905
5050502,35,925
5050503,35,935
5050504.01,35,3415
5050504.03,35,2240
5050504.04,35,2970
5050504.05,35,2785
5050505,35,1745
5050506,35,2510
5050507,35,2260
5050508,35,1570
5050509,35,1345
5050510.01,35,2465
5050510.02,35,1535
5050511.01,35,3665
5050511.02,35,4770
5050600,35,1240
5050601.01,35,2465
5050601.02,35,1260
5050601.03,35,2275
5050602.01,35,1865
5050602.02,35,1640
5050602.03,35,2795
5050610.01,35,980
5050610.02,35,1040
5050611,35,2300
5050612.01,35,1010
5050612.02,35,450
5050613.01,35,2015
5050613.03,35,3595
5050613.04,35,2090
5050613.05,35,4640
5050620.01,35,2930
5050620.03,35,2160
5050620.04,35,2755
5050630.01,35,4875
5050630.02,35,2180
5050631,35,4490
5050700.01,35,3830
5050700.03,35,2930
5050700.04,35,2900
5050710.01,35,3075
5050710.02,35,3655
5050711,35,3140
5050712,35,2495
5050800,35,850
5050810.01,35,2560
5050810.02,35,2400
5050811.01,35,2250
5050811.02,35,2160
5050820,35,3960
5050821.01,35,3920
5050821.02,35,1925
5050822.02,35,3920
5050822.03,35,1215
5050822.04,35,9150
5050840,35,2805
5050841.03,35,5180
5050841.04,35,3260
5050841.06,35,1500
5050841.07,35,4200
5050850,35,2925
5050901,35,2690
5050902,35,280
5050903,35,345
5050904,35,270
5050905,35,405
5210000,35,77785
5210001,35,1640
5210003,35,1380
5210004,35,1255
5210005,35,2595
5210006,35,1465
5210007,35,2320
5210009,35,1630
5210010,35,1780
5210011.02,35,1225
5210012,35,2080
5210013,35,245
5210014,35,1810
5210015,35,1470
5210100.01,35,610
5210100.02,35,4805
5210101,35,2060
5210102,35,3180
5210103,35,2970
5210105.01,35,3115
5210105.02,35,900
5210106,35,3560
5210107,35,200
5210108,35,635
5210109,35,290
5210110,35,4555
5210111.01,35,1660
5210111.02,35,3585
5210112.03,35,1475
5210112.04,35,2380
5210112.05,35,1610
5210112.06,35,2630
5210112.07,35,1535
5210113.01,35,4705
5210113.02,35,2770
5220000,35,42910
5220001,35,450
5220002,35,1285
5220003,35,1245
5220004,35,1965
5220005,35,390
5220006,35,2585
5220007,35,2365
5220008,35,1335
5220009,35,975
5220010,35,20
5220011,35,2050
5220012,35,3180
5220200,35,1290
5220201,35,2015
5220202,35,1675
5220300,35,1720
5220301,35,725
5220302,35,2570
5220303,35,1950
5220400,35,990
5220401,35,1845
5220403,35,1490
5220404,35,950
5220406,35,1985
5220500,35,2000
5220501,35,1680
5290000,35,55150
5290001.01,35,1625
5290001.02,35,2050
5290002,35,1835
5290003,35,2770
5290004,35,1945
5290006,35,2465
5290007,35,1770
5290008,35,1775
5290009.01,35,1185
5290009.02,35,2340
5290009.03,35,2810
5290009.04,35,2835
5290010,35,1170
5290011,35,1215
5290012,35,2775
5290013,35,2200
5290014,35,1065
5290100,35,1865
5290101,35,1595
5290102.01,35,3115
5290102.02,35,1760
5290103,35,2425
5290104,35,1325
5290105,35,2905
5290201,35,2340
5320000,35,176850
5320001,35,1510
5320002.01,35,1545
5320002.03,35,3140
5320003.01,35,2095
5320003.02,35,3240
5320004.01,35,1380
5320004.02,35,1800
5320007,35,2435
5320008.01,35,2055
5320008.02,35,1195
5320008.03,35,2140
5320008.05,35,1470
5320008.06,35,2820
5320008.07,35,3715
5320009.01,35,1365
5320009.02,35,1735
5320009.03,35,3060
5320009.04,35,1210
5320009.05,35,2330
5320010,35,1585
5320011,35,2445
5320012,35,2415
5320013,35,3185
5320014.01,35,1280
5320014.02,35,1730
5320015.01,35,1860
5320015.02,35,1920
5320016.01,35,4155
5320016.02,35,4680
5320100.01,35,3135
5320100.02,35,2630
5320100.03,35,3715
5320101.02,35,2130
5320101.03,35,2400
5320101.04,35,2590
5320101.05,35,1455
5320101.06,35,2400
5320102.01,35,1780
5320102.02,35,905
5320102.03,35,1505
5320103,35,1140
5320104,35,2275
5320105.03,35,4550
5320105.04,35,2195
5320105.05,35,2335
5320105.06,35,1505
5320105.07,35,3265
5320105.08,35,1575
5320105.09,35,2355
5320105.1,35,3545
5320105.11,35,4570
5320105.12,35,4960
5320105.13,35,4610
5320200,35,3035
5320201.01,35,2640
5320201.02,35,1930
5320202.03,35,1485
5320202.04,35,3045
5320202.05,35,2550
5320202.07,35,2280
5320202.08,35,1695
5320202.09,35,1595
5320202.1,35,2865
5320202.11,35,3215
5320203.01,35,2430
5320203.02,35,2615
5320203.03,35,1825
5320203.04,35,3380
5320204,35,1675
5320205,35,2490
5320206,35,2620
5350000,35,2780685
5350001,35,305
5350002,35,405
5350004,35,3480
5350005,35,2545
5350007.01,35,1655
5350007.02,35,2100
5350008,35,7100
5350010.01,35,3395
5350010.02,35,5040
5350011,35,6895
5350012.01,35,4510
5350012.02,35,8105
5350013,35,7070
5350015,35,2375
5350016,35,4275
5350017,35,4390
5350018,35,1240
5350019,35,1485
5350020,35,1355
5350021,35,3060
5350022,35,2105
5350023,35,1890
5350024,35,3745
5350025,35,1765
5350026,35,3175
5350027,35,2180
5350028,35,3640
5350029,35,3450
5350030,35,1265
5350031,35,2185
5350032,35,2260
5350033,35,2000
5350034.01,35,2195
5350034.02,35,3290
5350035,35,4165
5350036,35,2850
5350037,35,2410
5350038,35,2125
5350039,35,2110
5350040,35,2510
5350041,35,2010
5350042,35,2515
5350043,35,2120
5350044,35,3030
5350045,35,2015
5350046,35,1790
5350047.01,35,2075
5350047.02,35,1665
5350048,35,2240
5350049,35,1875
5350050.01,35,3740
5350050.02,35,3315
5350051,35,3130
5350052,35,2275
5350053,35,3350
5350054,35,3300
5350055,35,1770
5350056,35,2980
5350057,35,1555
5350058,35,2250
5350059,35,2030
5350060,35,1320
5350061,35,330
5350062.01,35,2475
5350062.02,35,3580
5350063.01,35,5660
5350063.02,35,4275
5350064,35,2580
5350065,35,6355
5350066,35,4540
5350067,35,1095
5350068,35,1520
5350069,35,2855
5350070,35,2065
5350071,35,1930
5350072.01,35,2055
5350072.02,35,1750
5350073,35,1430
5350074,35,1805
5350075,35,2045
5350076,35,2200
5350077,35,2475
5350078,35,3305
5350079,35,3685
5350080.01,35,1865
5350080.02,35,2190
5350081,35,1580
5350082,35,1345
5350083,35,1930
5350084,35,1975
5350085,35,2350
5350086,35,1175
5350087,35,2430
5350088,35,1565
5350089,35,2005
5350090,35,2135
5350091.01,35,3175
5350091.02,35,1800
5350092,35,4655
5350093,35,3000
5350094,35,2805
5350095,35,1705
5350096,35,2855
5350097.01,35,2105
5350097.02,35,3020
5350098,35,3585
5350099,35,3700
5350101,35,1960
5350102.01,35,880
5350102.02,35,2505
5350102.03,35,2020
5350103,35,3270
5350104,35,2805
5350105,35,2505
5350106,35,2080
5350107,35,2930
5350108,35,2750
5350109,35,2835
5350110,35,1815
5350111,35,1230
5350112,35,2215
5350113,35,1440
5350114,35,2575
5350115,35,2140
5350116,35,1985
5350117,35,1250
5350118,35,2200
5350119,35,2690
5350120,35,795
5350121,35,1060
5350122,35,3650
5350123,35,1505
5350124,35,3030
5350125,35,2270
5350126,35,2250
5350127,35,3000
5350128.02,35,5310
5350128.03,35,3060
5350128.04,35,2575
5350129,35,2815
5350130,35,1795
5350131,35,2935
5350132,35,2950
5350133,35,3705
5350134,35,1405
5350135,35,3330
5350136.01,35,4020
5350136.02,35,3120
5350137,35,3855
5350138,35,1470
5350139,35,3620
5350140,35,1315
5350141.01,35,2270
5350141.02,35,2310
5350142,35,2935
5350150,35,2365
5350151,35,1625
5350152,35,2335
5350153,35,2175
5350154,35,2710
5350155,35,1345
5350156.01,35,2465
5350156.02,35,1260
5350157,35,1220
5350158,35,955
5350159.01,35,1680
5350159.02,35,2365
5350160,35,1675
5350161,35,3110
5350162,35,2280
5350163,35,2220
5350164,35,3330
5350165,35,2490
5350166,35,2175
5350167.01,35,880
5350167.02,35,3520
5350168,35,2635
5350169.01,35,1735
5350169.02,35,4010
5350170,35,1840
5350171,35,1435
5350172,35,1355
5350173,35,1315
5350174,35,3325
5350175.01,35,2645
5350175.02,35,3660
5350176,35,2320
5350180,35,3065
5350181.01,35,2410
5350181.02,35,1650
5350182,35,3050
5350183,35,3595
5350184.01,35,2415
5350184.02,35,2155
5350185.01,35,3410
5350185.02,35,2395
5350186,35,1130
5350187,35,1630
5350188,35,1055
5350189,35,2485
5350190.01,35,3630
5350190.02,35,2055
5350191,35,2110
5350192,35,360
5350193,35,1470
5350194.01,35,1530
5350194.02,35,2000
5350194.03,35,985
5350194.04,35,2220
5350195,35,3200
5350196,35,3700
5350200,35,3450
5350201,35,2945
5350202,35,935
5350203,35,1765
5350204,35,2415
5350206.01,35,2260
5350206.02,35,3100
5350207,35,1230
5350208,35,1715
5350209,35,1165
5350210,35,4860
5350211,35,3285
5350212,35,2955
5350213,35,3970
5350214,35,2625
5350215,35,3450
5350216,35,2780
5350217,35,3035
5350218,35,1300
5350219,35,1985
5350220,35,2070
5350221.01,35,2920
5350221.02,35,1920
5350222.01,35,2810
5350222.02,35,2185
5350223,35,1745
5350224,35,845
5350225.01,35,2585
5350225.02,35,3815
5350226,35,1630
5350227,35,860
5350228,35,1465
5350229,35,615
5350230.01,35,1230
5350230.02,35,2780
5350231,35,3235
5350232,35,2140
5350233,35,2600
5350234,35,1965
5350235.01,35,1360
5350235.02,35,2560
5350236.01,35,3050
5350236.02,35,3015
5350237.01,35,2535
5350237.02,35,1390
5350237.03,35,2450
5350238.01,35,1580
5350238.02,35,2530
5350239,35,2965
5350240.01,35,1400
5350240.02,35,2370
5350241,35,1445
5350242,35,665
5350243.01,35,2100
5350243.02,35,1340
5350244.01,35,2590
5350244.02,35,1475
5350245,35,3070
5350246,35,1610
5350247.01,35,4130
5350247.02,35,3235
5350248.02,35,1725
5350248.03,35,1320
5350248.04,35,2660
5350248.05,35,1840
5350249.01,35,2185
5350249.03,35,2680
5350249.04,35,1270
5350249.05,35,2080
5350250.01,35,2085
5350250.02,35,2205
5350250.04,35,2420
5350250.05,35,2800
5350260.01,35,3035
5350260.03,35,3410
5350260.04,35,1310
5350260.05,35,1035
5350261,35,1875
5350262.01,35,2705
5350262.02,35,2955
5350263.02,35,1400
5350263.03,35,2800
5350263.04,35,2720
5350264,35,725
5350265,35,1820
5350266,35,1480
5350267,35,3125
5350268,35,2985
5350269.01,35,2320
5350269.02,35,1290
5350270.01,35,2615
5350270.02,35,1980
5350271.01,35,1250
5350271.02,35,2135
5350272.01,35,2580
5350272.02,35,2250
5350273.01,35,1890
5350273.02,35,2050
5350274.01,35,2340
5350274.02,35,2520
5350275,35,2565
5350276.01,35,3105
5350276.02,35,3395
5350277,35,1880
5350278,35,3375
5350279.01,35,2100
5350279.02,35,2575
5350280,35,3300
5350281.01,35,2970
5350281.02,35,1590
5350282,35,2185
5350283.01,35,2020
5350283.02,35,1540
5350284,35,3185
5350285,35,1655
5350286,35,1565
5350287.01,35,3060
5350287.02,35,2530
5350288,35,4525
5350289,35,1995
5350290,35,2325
5350291.01,35,1785
5350291.02,35,2385
5350292,35,3010
5350293,35,1875
5350294.01,35,1795
5350294.02,35,1985
5350295,35,2435
5350296,35,70
5350297.01,35,3385
5350297.02,35,3030
5350298,35,2340
5350299.01,35,2895
5350299.02,35,2315
5350300,35,6055
5350301.01,35,1410
5350301.03,35,1945
5350301.04,35,1715
5350302.01,35,3100
5350302.02,35,2725
5350302.03,35,1575
5350303,35,2450
5350304.01,35,2025
5350304.02,35,2130
5350304.03,35,1310
5350304.04,35,1660
5350304.05,35,1220
5350304.06,35,2840
5350305.01,35,2105
5350305.03,35,2350
5350305.04,35,2985
5350306.01,35,2070
5350306.02,35,2240
5350307.03,35,1985
5350307.04,35,3085
5350307.05,35,1945
5350307.06,35,2700
5350307.07,35,2730
5350308.01,35,5020
5350308.02,35,2205
5350309,35,2870
5350310.01,35,1690
5350310.02,35,2350
5350311.02,35,2585
5350311.03,35,950
5350311.04,35,2975
5350311.05,35,3035
5350311.06,35,2485
5350312.02,35,1550
5350312.03,35,2520
5350312.04,35,1865
5350312.05,35,1200
5350312.06,35,1085
5350312.07,35,1115
5350313,35,2505
5350314.01,35,2050
5350314.02,35,2255
5350315.01,35,1405
5350315.02,35,1530
5350315.03,35,2220
5350316.01,35,1760
5350316.03,35,2190
5350316.04,35,1515
5350316.05,35,1600
5350316.06,35,1215
5350317.02,35,3060
5350317.03,35,2040
5350317.04,35,3000
5350317.05,35,1275
5350318,35,3820
5350319,35,1890
5350320.01,35,2285
5350320.02,35,2905
5350321.01,35,1845
5350321.02,35,1870
5350322.01,35,2535
5350322.02,35,1300
5350323.01,35,1860
5350323.02,35,2325
5350324.01,35,1750
5350324.02,35,2815
5350324.03,35,1435
5350324.05,35,1535
5350324.06,35,1785
5350330,35,2025
5350331.01,35,2620
5350331.03,35,1905
5350331.04,35,1525
5350332,35,2935
5350333,35,2220
5350334,35,1865
5350335,35,3105
5350336,35,3530
5350337,35,1290
5350338,35,2675
5350339,35,3430
5350340,35,3115
5350341.02,35,1680
5350341.03,35,1490
5350341.04,35,1840
5350342,35,3065
5350343,35,1625
5350344.01,35,2225
5350344.02,35,1380
5350345,35,1495
5350346.01,35,1825
5350346.02,35,2165
5350347,35,1365
5350348,35,2550
5350349,35,2580
5350350,35,2520
5350351.01,35,2135
5350351.02,35,1460
5350352,35,2435
5350353.02,35,2175
5350353.03,35,1335
5350353.04,35,1670
5350354,35,2270
5350355.02,35,2465
5350355.03,35,1370
5350355.04,35,2170
5350356,35,2175
5350357.01,35,2390
5350357.02,35,1635
5350358.01,35,1560
5350358.02,35,1635
5350358.03,35,1915
5350359,35,2790
5350360,35,2855
5350361.01,35,2935
5350361.02,35,3935
5350362.01,35,3100
5350362.02,35,3015
5350362.03,35,3685
5350362.04,35,2330
5350363.02,35,1525
5350363.04,35,1670
5350363.05,35,1750
5350363.06,35,3550
5350363.07,35,1710
5350364.01,35,2660
5350364.02,35,1255
5350365,35,2730
5350366,35,2670
5350367.01,35,1825
5350367.02,35,1725
5350368.01,35,3040
5350368.02,35,1600
5350369,35,3095
5350370.01,35,4410
5350370.02,35,2230
5350370.03,35,1640
5350371,35,3230
5350372,35,2080
5350373,35,2105
5350374.01,35,2355
5350374.02,35,1535
5350374.03,35,1680
5350375.01,35,2555
5350375.02,35,925
5350375.03,35,2080
5350375.04,35,2575
5350375.05,35,3180
5350376.01,35,2190
5350376.02,35,2350
5350376.04,35,2350
5350376.05,35,3025
5350376.06,35,30
5350376.08,35,2830
5350376.09,35,2100
5350376.11,35,1425
5350376.12,35,2345
5350376.13,35,1560
5350376.14,35,1710
5350376.15,35,1545
5350376.16,35,1225
5350377.01,35,3210
5350377.02,35,2070
5350377.03,35,1210
5350377.04,35,2720
5350377.06,35,1750
5350377.07,35,2260
5350378.02,35,1305
5350378.03,35,3585
5350378.04,35,2590
5350378.05,35,1960
5350378.06,35,2660
5350378.07,35,3275
5350378.08,35,2990
5350378.11,35,2475
5350378.12,35,1900
5350378.14,35,1790
5350378.16,35,2935
5350378.17,35,1320
5350378.18,35,1200
5350378.19,35,2425
5350378.2,35,925
5350378.21,35,1790
5350378.22,35,1735
5350378.23,35,1770
5350378.24,35,2750
5350378.25,35,3560
5350378.26,35,2375
5350378.27,35,2680
5350378.28,35,3610
5350400.02,35,3430
5350400.03,35,1645
5350400.04,35,1055
5350400.06,35,1645
5350400.07,35,1860
5350400.08,35,1315
5350400.11,35,2990
5350400.12,35,3915
5350400.13,35,2660
5350400.14,35,3200
5350400.15,35,2580
5350400.16,35,2720
5350400.17,35,1930
5350400.18,35,1285
5350400.19,35,3580
5350400.2,35,1300
5350400.21,35,1020
5350400.22,35,4085
5350400.23,35,3820
5350401.04,35,1740
5350401.05,35,1100
5350401.06,35,2540
5350401.07,35,1950
5350401.08,35,1765
5350401.09,35,4220
5350401.1,35,2650
5350401.11,35,3390
5350401.13,35,2915
5350401.14,35,3940
5350401.15,35,1250
5350401.17,35,2000
5350401.18,35,1745
5350401.19,35,3055
5350401.2,35,2235
5350401.21,35,1375
5350401.22,35,3600
5350401.23,35,930
5350402.01,35,1515
5350402.02,35,1760
5350402.03,35,1390
5350402.04,35,2650
5350402.05,35,1075
5350402.06,35,2760
5350402.07,35,1070
5350402.08,35,3090
5350402.09,35,1810
5350402.1,35,2215
5350402.12,35,2545
5350402.13,35,3055
5350403.01,35,3840
5350403.03,35,5140
5350403.04,35,2080
5350403.05,35,1665
5350403.07,35,3390
5350403.09,35,2445
5350403.1,35,2410
5350403.11,35,3475
5350403.12,35,3375
5350403.13,35,2815
5350403.14,35,3270
5350410.02,35,2415
5350410.03,35,3620
5350410.04,35,2255
5350410.05,35,3630
5350410.07,35,2010
5350410.09,35,2140
5350410.1,35,1965
5350410.11,35,1965
5350410.12,35,2900
5350410.13,35,3795
5350410.14,35,3450
5350410.15,35,1100
5350411.01,35,3100
5350411.04,35,3255
5350411.07,35,2225
5350411.08,35,1110
5350411.09,35,3345
5350411.12,35,3230
5350411.15,35,2255
5350411.16,35,3180
5350411.17,35,3050
5350411.18,35,4470
5350411.19,35,2995
5350411.2,35,9140
5350411.21,35,1395
5350411.22,35,2670
5350411.23,35,1935
5350411.24,35,3430
5350411.25,35,1835
5350411.26,35,2750
5350411.27,35,1960
5350412.01,35,3210
5350412.02,35,3585
5350412.04,35,2615
5350412.06,35,2105
5350412.08,35,1115
5350412.1,35,3150
5350412.11,35,2450
5350412.12,35,2300
5350412.13,35,2165
5350412.14,35,1950
5350412.15,35,2885
5350412.18,35,4190
5350412.19,35,4700
5350412.2,35,3120
5350412.22,35,3685
5350412.23,35,5740
5350412.24,35,4190
5350413,35,6660
5350420.03,35,3180
5350420.05,35,3055
5350420.06,35,2745
5350420.08,35,2260
5350420.09,35,2160
5350420.1,35,1850
5350420.11,35,3330
5350420.13,35,2955
5350420.14,35,3655
5350420.15,35,1340
5350421.01,35,3420
5350421.04,35,1760
5350421.05,35,2170
5350421.06,35,1900
5350421.07,35,2280
5350422.02,35,2810
5350422.03,35,3560
5350422.04,35,2165
5350422.05,35,3825
5350422.06,35,2560
5350423.01,35,1955
5350423.02,35,4020
5350424.04,35,1270
5350424.05,35,4360
5350424.07,35,3680
5350424.08,35,4045
5350424.09,35,1615
5350424.1,35,3095
5350424.11,35,3810
5350424.12,35,13440
5350424.13,35,795
5350430.02,35,5135
5350430.03,35,2480
5350430.04,35,5695
5350431.01,35,2825
5350431.02,35,3650
5350440,35,3570
5350441.02,35,2235
5350441.03,35,4155
5350441.04,35,3225
5350442.02,35,2205
5350442.03,35,3240
5350442.04,35,2260
5350442.05,35,3825
5350442.06,35,4010
5350450.02,35,1535
5350450.03,35,4195
5350450.05,35,2945
5350450.06,35,2630
5350451.01,35,1060
5350451.02,35,2445
5350451.03,35,3750
5350451.05,35,2735
5350451.06,35,3530
5350451.07,35,2700
5350452.01,35,1980
5350452.02,35,2835
5350452.03,35,3075
5350452.05,35,2290
5350452.06,35,2105
5350452.07,35,3155
5350455,35,4220
5350456.01,35,2360
5350456.02,35,3565
5350456.03,35,2675
5350460.01,35,2585
5350460.02,35,1780
5350470,35,1560
5350471,35,1750
5350472,35,3800
5350473.01,35,3390
5350473.02,35,3625
5350473.03,35,2020
5350474,35,2865
5350475,35,2835
5350480.01,35,2130
5350480.02,35,4390
5350481.01,35,2740
5350481.02,35,2645
5350482,35,3240
5350483.01,35,3035
5350483.02,35,1170
5350484.01,35,1065
5350484.02,35,3445
5350485.01,35,3200
5350485.02,35,3425
5350500.01,35,1895
5350500.02,35,2595
5350501.01,35,3205
5350501.02,35,3665
5350502.01,35,3080
5350502.02,35,1295
5350503,35,2600
5350504,35,1680
5350505.01,35,2505
5350505.02,35,2825
5350506,35,1360
5350507,35,2010
5350508,35,1790
5350509.01,35,2905
5350509.02,35,1750
5350510,35,2905
5350511.01,35,2365
5350511.02,35,2260
5350512,35,2925
5350513.01,35,3580
5350513.02,35,2865
5350513.03,35,1395
5350513.04,35,1990
5350514.01,35,1140
5350514.02,35,2325
5350515.01,35,2310
5350515.02,35,1485
5350516.01,35,3120
5350516.02,35,2805
5350516.03,35,3245
5350516.04,35,3345
5350516.05,35,3480
5350516.06,35,2480
5350516.08,35,3105
5350516.09,35,3845
5350516.11,35,2660
5350516.16,35,2415
5350516.17,35,1725
5350516.18,35,2165
5350516.2,35,3640
5350516.21,35,1685
5350516.22,35,3740
5350516.23,35,3070
5350516.24,35,2390
5350516.25,35,2040
5350516.26,35,3580
5350516.28,35,2470
5350516.29,35,2380
5350516.3,35,3140
5350516.31,35,1475
5350516.32,35,2785
5350516.37,35,2880
5350516.38,35,3245
5350516.39,35,2700
5350516.4,35,3050
5350516.41,35,2630
5350516.42,35,4210
5350516.43,35,2150
5350516.44,35,2635
5350516.45,35,5555
5350516.46,35,3860
5350516.47,35,2530
5350517,35,925
5350518,35,1890
5350519,35,2050
5350520.01,35,2550
5350520.02,35,3440
5350520.05,35,1870
5350520.07,35,2260
5350520.08,35,3445
5350520.09,35,3600
5350520.1,35,4925
5350521.01,35,2700
5350521.02,35,1965
5350521.03,35,2615
5350521.04,35,3185
5350521.05,35,2260
5350521.06,35,2270
5350522,35,2730
5350523,35,2975
5350524.01,35,2530
5350524.02,35,1800
5350525.01,35,1605
5350525.02,35,2040
5350526.01,35,2775
5350526.02,35,1610
5350527.01,35,3955
5350527.02,35,2580
5350527.03,35,3740
5350527.04,35,3210
5350527.05,35,3210
5350527.06,35,2075
5350527.07,35,2590
5350527.08,35,2425
5350527.09,35,1785
5350528.01,35,2810
5350528.02,35,3980
5350528.1,35,4410
5350528.11,35,2700
5350528.12,35,3145
5350528.13,35,1880
5350528.15,35,2195
5350528.16,35,2540
5350528.18,35,3815
5350528.19,35,2905
5350528.2,35,3110
5350528.21,35,1940
5350528.22,35,3020
5350528.24,35,2810
5350528.25,35,4060
5350528.26,35,2200
5350528.31,35,2665
