,COVs_POP,COVs_EMP,empdense_CT11,CTUID
123,0.28005295,0.373120822,2370.719166,3788
124,0.389912532,0.323422759,2848.889483,4592
125,0.451882895,0.354639498,1740.866738,5203
126,1.508666935,1.528329823,110.5139005,502
127,1.178390192,1.436620879,2592.563941,1664
128,0.529353444,0.541904207,1496.62861,4720
129,0.360572518,0.400248379,4567.059659,1105
130,0.821261411,0.800274442,6411.916689,931
131,0.611286521,0.605615482,1047.391293,3833
132,0.453387392,0.458694161,5417.305228,2934
133,1.383031737,1.068273679,3914.464561,1174
134,0.371911601,0.270311096,6007.487381,3248
135,0.515990207,0.616377418,10806.53036,1561
136,0.468487111,0.437626413,4512.552723,3072
137,0.868098904,0.930770068,890.7782819,3193
138,0.193759088,0.253710769,2671.492315,1057
139,0.411518288,0.498417749,1984.583112,520
140,0.597672877,0.627104202,1638.419681,1772
141,2.455151089,NA,4.798243282,4446
142,0.51342555,0.447746234,5724.818157,4997
143,0.332757719,0.346581981,2578.843342,581
144,0.67920452,0.831172419,2308.909484,4294
145,0.775330496,0.888284347,1999.055552,2733
146,0.493965301,0.504395923,2132.839827,2633
147,0.498250001,0.64236259,3128.163636,4
148,1.025031641,1.072005749,3.801870924,4166
149,0.467578473,0.584386718,4382.369242,5039
150,1.920603604,1.809053137,23.93041398,4056
151,1.183109124,1.037816758,310.2328076,141
152,0.760056798,NA,948.1201407,4734
153,0.256930184,0.307914358,3566.333809,4368
154,0.100507492,0.174281542,7334.08934,1493
155,0.509211093,0.385306324,4581.056388,2471
156,0.338449237,0.372638933,3514.22975,4697
157,0.001014891,0.069835301,4105.164387,4817
158,0.239232289,0.310423628,4783.179087,4318
159,0.609224372,0.664977512,4429.8777,5258
160,0.266775682,0.304703867,13280.44353,658
161,1.073526599,0.983375848,283.5410234,1658
162,0.66840344,0.542491429,978.5563085,4781
163,0.992991266,1.015419895,1731.163337,3361
164,1.767792616,NA,8597.100566,2465
165,1.134955247,1.211351892,232.047218,4823
166,0.687905127,0.703284914,2264.589426,1050
167,0.472069719,0.424253425,10256.12074,899
168,0.424374878,0.479379651,3521.303315,4509
169,0.543455583,0.600499534,1917.700564,3294
170,0.717369979,0.734172648,539.413675,1701
171,0.619617068,0.653726562,1575.163917,4365
172,0.419088598,0.419064396,3059.454345,3737
173,NA,NA,5590.188372,307
174,0.364190943,0.38990844,3659.886379,1649
175,0.177776718,0.238122533,3233.301578,4923
176,0.606726634,0.651443187,4365.121115,3988
177,0.46292737,0.52949374,4496.825819,4537
178,0.149402537,0.330933454,3803.754392,1927
179,0.545907659,0.578347696,8099.135105,1617
180,0.550133202,0.71656479,1478.546785,1235
181,0.329867416,0.599577778,3622.883816,5061
182,0.556036041,0.505964522,4815.142477,926
183,0.517145576,0.711530055,4591.12422,4616
184,0.724688746,0.740096962,3238.947029,5360
185,0.256708119,0.321899609,5653.147383,1491
186,0.559887874,0.538043625,5829.068162,2176
187,0.171217783,0.224237161,4780.929961,1219
188,0.934555068,0.97056453,257.9408114,453
189,0.448421003,0.492495849,1300.612381,1685
190,0.637120262,0.677560401,1480.110211,406
191,0.536134725,0.53221782,2005.675676,246
192,0.409052596,0.362854088,3245.911669,3675
193,0.457404075,0.560305865,4885.309089,905
194,1.2925149,1.323371231,5.61767952,4453
195,0.468196692,0.466707695,2640.870339,5369
196,NA,NA,1246.682642,4759
197,0.483527659,0.582812931,1970.825958,1008
198,0.32154103,0.353969558,9144.504237,839
199,0.647821393,0.58993037,2113.100633,397
200,0.295112759,0.279068235,6069.84501,5153
201,0.47329714,0.484443611,10868.08014,684
202,0.628196858,0.699841013,564.2628852,1392
203,0.894210394,0.924949806,522.6296789,4460
204,0.223013727,0.610071025,4615.011796,2737
205,0.399992584,0.393315226,8717.245809,2066
206,NA,NA,4.069384827,1814
207,0.16751401,0.221145662,3912.642628,3247
208,0.887168027,0.826245055,5620.236614,2450
209,0.370680711,0.336038771,2886.735925,1067
210,0.481350616,0.508531494,7798.977725,2123
211,0.580671284,0.590048999,4354.276758,3371
212,0.841541191,0.754886291,3747.295372,2110
